127.0.0.1 - - [28/Nov/2017:19:34:18 -0600] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:34:21 -0600] "GET /f17g211/faces/index.jsf HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:44:49 -0600] "GET /f17g211/ HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:44:52 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:44:55 -0600] "GET /f17g211_project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:44:58 -0600] "GET /f17g211_project/faces/index.jsp HTTP/1.1" 200 6267
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:44:58 -0600] "GET /f17g211_project/faces/javax.faces.resource/oamSubmit.js?ln=org.apache.myfaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:46:38 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:55:43 -0600] "GET /f17g211/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:55:44 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:56:39 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:56:59 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:58:15 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:58:18 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:58:19 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [28/Nov/2017:19:59:50 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:00:18 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:00:30 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:00:32 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:07 -0600] "GET /f17g211/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:08 -0600] "GET /f17g211/faces/index.jsp HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:10 -0600] "GET /f17g211_project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:10 -0600] "GET /f17g211_project/faces/index.jsp HTTP/1.1" 200 6267
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:10 -0600] "GET /f17g211_project/faces/javax.faces.resource/oamSubmit.js?ln=org.apache.myfaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:13 -0600] "POST /f17g211_project/faces/index.jsp HTTP/1.1" 200 15397
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:20 -0600] "POST /f17g211_project/faces/Login.jsp HTTP/1.1" 200 63082
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:22 -0600] "POST /f17g211_project/faces/DisplayTables.jsp HTTP/1.1" 200 65473
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:31 -0600] "POST /f17g211_project/faces/DisplayTables.jsp HTTP/1.1" 200 66042
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:36 -0600] "POST /f17g211_project/faces/DisplayTables.jsp HTTP/1.1" 200 69984
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:43 -0600] "POST /f17g211_project/faces/DisplayTables.jsp HTTP/1.1" 200 57533
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:47 -0600] "POST /f17g211_project/faces/GraphicalAnalysis.jsp HTTP/1.1" 200 58108
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:01:57 -0600] "POST /f17g211_project/faces/GraphicalAnalysis.jsp HTTP/1.1" 200 75810
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:02:04 -0600] "POST /f17g211_project/faces/GraphicalAnalysis.jsp HTTP/1.1" 200 76006
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:04:24 -0600] "POST /f17g211_project/faces/GraphicalAnalysis.jsp HTTP/1.1" 200 75913
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:04:24 -0600] "GET /f17g211_project/ChartImages/_X-YSeriesGraph.png HTTP/1.1" 200 12612
0:0:0:0:0:0:0:1 - - [28/Nov/2017:20:04:41 -0600] "POST /f17g211_project/faces/GraphicalAnalysis.jsp HTTP/1.1" 200 4501
